                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         train/ave_loss,           val/ave_loss,                   mIOU,             IOU_array0,             IOU_array1,                 sigma1,                 sigma2,                 lr/pg0,                 lr/pg1,                 lr/pg2,                 lr/pg3
                     76,                0.71106,                0.49512,                0.93546,                0.91762,                0.89472,                0.94347,                 0.7701,                0.76666,                0.47144,                0.95681,              0.0010296,              0.0012835,                0.77148,                0.99955,                0.54341,                 11.612,              0.0018296,              0.0012544,              0.0012544,              0.0012544,              0.0012544
                     77,                0.72224,                0.48514,                 0.9437,                0.88031,                0.89773,                0.92636,                0.75716,                0.75427,                0.50577,                0.95542,              0.0011297,              0.0015044,                0.75601,                0.99955,                0.51246,                 11.621,              0.0030722,              0.0012489,              0.0012489,              0.0012489,              0.0012489
                     78,                0.70864,                0.48713,                0.93476,                0.90207,                 0.9134,                0.93553,                0.76249,                0.74964,                0.48507,                0.94811,              0.0012831,              0.0013873,                 0.7609,                0.99952,                0.52227,                 11.631,              0.0029596,              0.0012434,              0.0012434,              0.0012434,              0.0012434
                     79,                0.70414,                0.48079,                0.93612,                0.89978,                0.89751,                0.91391,                 0.7419,                0.76138,                0.51116,                 0.9535,             0.00098769,              0.0014558,                0.74725,                0.99952,                0.49497,                  11.64,                0.00364,              0.0012379,              0.0012379,              0.0012379,              0.0012379
                     80,                0.69158,                 0.4761,                0.93135,                0.91513,                  0.898,                 0.9419,                0.77121,                0.74228,                0.46837,                0.94838,             0.00099207,              0.0014492,                0.76097,                0.99954,                 0.5224,                 11.649,              0.0033293,              0.0012324,              0.0012324,              0.0012324,              0.0012324
                     81,                0.70491,                 0.4753,                0.92887,                0.92515,                 0.8855,                0.93999,                0.76877,                0.74756,                0.46597,                0.94839,             0.00096764,              0.0015019,                0.74606,                 0.9995,                0.49263,                 11.658,              0.0013347,              0.0012269,              0.0012269,              0.0012269,              0.0012269
                     82,                0.70099,                0.48701,                0.93313,                0.90464,                0.89283,                0.93744,                0.75926,                0.75879,                 0.4875,                0.95452,             0.00097695,              0.0012688,                0.78143,                0.99957,                 0.5633,                 11.667,               0.002873,              0.0012214,              0.0012214,              0.0012214,              0.0012214
                     83,                0.68459,                0.46458,                0.93206,                0.92175,                0.89465,                0.93657,                0.76331,                0.75079,                0.47591,                0.95725,             0.00095305,              0.0014709,                0.76868,                0.99955,                0.53781,                 11.676,              0.0023089,              0.0012159,              0.0012159,              0.0012159,              0.0012159
                     84,                0.68997,                0.46142,                0.92765,                0.91754,                0.88954,                0.93264,                0.75511,                0.75429,                0.48001,                  0.946,             0.00095439,              0.0013321,                0.76494,                0.99955,                0.53033,                 11.684,              0.0017908,              0.0012104,              0.0012104,              0.0012104,              0.0012104
                     85,                 0.6885,                0.45568,                0.92776,                0.92977,                0.87648,                0.93958,                0.76668,                0.75013,                  0.481,                0.94976,             0.00092867,               0.001483,                0.76823,                0.99954,                0.53693,                 11.693,              0.0017696,              0.0012049,              0.0012049,              0.0012049,              0.0012049
